id,name,address,symbol,chain,gecko_id,audits,cmcId,category,chains,oracles,slug,tvl,fdv,mcap,R_ExtractDate
265,Reflexer,0x6243d8cea23066d098a15582d81a598b4e8391f4,FLX,Ethereum,reflexer-ungovernance-token,2,9493,Algo-Stables,['Ethereum'],['Chainlink'],reflexer,0.0,33239883.0,16556390.0,2022-07-23
631,Beanstalk,0xdc59ac4fefa32293a95889dc396682858d52e5db,BEAN,Ethereum,bean,2,12503,Algo-Stables,['Ethereum'],['TWAP'],beanstalk,0.0,,162371.0,2022-07-23
968,Zai Finance,0x9d1233cc46795e94029fda81aaadc1455d510f15,ZAI,Ethereum,zero-collateral-dai,0,,Algo-Stables,['Ethereum'],,zai-finance,0.0,97421.0,73529894.0,2022-07-23
1073,Kitty Finance,avax:0x788ae3b5d153d49f8db649aacba1857f744b739e,KITTY,Multi-Chain,kitty-finance,0,15948,Algo-Stables,"['Polygon', 'Avalanche']",,kitty-finance,0.0,591.42,0.0,2022-07-23
1158,Unite Finance,harmony:0xb4441013ea8aa3a9e35c5aca2b037e577948c59e,UNITE,Harmony,unite,2,16527,Algo-Stables,['Harmony'],,unite-finance,0.0,1699.36,0.0,2022-07-23
1169,Scarab Finance,fantom:0x2e79205648b85485731cfe3025d66cf2d3b059c4,SCARAB,Fantom,scarab-finance,1,16525,Algo-Stables,['Fantom'],,scarab-finance,0.0,11164.18,0.0,2022-07-23
1187,Galatea Cash,cronos:0x8420454d4b5f436dbCb5913609F3848350B8723A,gCASH,Cronos,,0,,Algo-Stables,['Cronos'],,galatea-cash,0.0,,,2022-07-23
1237,Bomb Money,bsc:0x522348779DCb2911539e76A1042aA922F9C47Ee3,BOMB,Binance,bomb-money,0,15876,Algo-Stables,['Binance'],,bomb-money,0.0,,1005341.0,2022-07-23
1248,Hermes Finance,avax:0xB15f02F9Da8CD1f99E9dd375F21dc96D25ddd82C,HERMES,Avalanche,hermes,0,,Algo-Stables,['Avalanche'],,hermes-finance,0.0,,4892.68,2022-07-23
1290,Grape Finance,avax:0x5541d83efad1f281571b343977648b75d95cdac2,GRAPE,Avalanche,grape-finance,2,17420,Algo-Stables,['Avalanche'],,grape-finance,0.0,22232.0,0.0,2022-07-23
1294,Hades Money,metis:0x88C37E0bc6a237e96bc4A82774A38BBc30efF3Cf,HADES,Metis,hades-money,0,,Algo-Stables,['Metis'],,hades-money,0.0,,0.0,2022-07-23
1316,Specter Finance,fantom:0x2B7c5841997275d2D548cE9b19D54B655725EBFc,SPECTER,Fantom,specter-finance,0,,Algo-Stables,['Fantom'],,specter-finance,0.0,,0.0,2022-07-23
1321,Comfy Money,harmony:0x702f78E81Cf3DfaE89648b5a9e2e1aa8db1De546,COMFY,Harmony,comfy,0,17638,Algo-Stables,['Harmony'],['TWAP'],comfy-money,0.0,,148268.0,2022-07-23
1325,Magik Finance,fantom:0x87a5c9b60a3aaf1064006fe64285018e50e0d020,MAGIK,Fantom,magik,0,17941,Algo-Stables,['Fantom'],,magik-finance,0.0,,0.0,2022-07-23
1326,Snowtomb,avax:0x9e6832d13b29d0b1c1c3465242681039b31c7a05,STOMB,Avalanche,snowtomb,0,17790,Algo-Stables,['Avalanche'],,snowtomb,0.0,,0.0,2022-07-23
1332,DNA Dollar,cronos:0xcc57f84637b441127f2f74905b9d99821b47b20c,DNA,Cronos,dna-dollar,0,,Algo-Stables,['Cronos'],,dna-dollar,0.0,27149.0,0.0,2022-07-23
1333,Oceanus,metis:0x41607272ce6f2a42732ae382f00f8f9ce68d78f3,SEA,Metis,sea-oceanus,0,,Algo-Stables,['Metis'],,oceanus,0.0,,0.0,2022-07-23
